route_long_name,route_short_name,agency_id,route_type,route_id
,2517,EFZ:72____:,106,U94yIh7ipvyaQ7J84fUpgQ
,2518,EFZ:72____:,106,hZCfp13g0d/dRA1t6PmqKg
,2519,EFZ:72____:,106,RKc/pfKd+VrxExdMzZTNqQ
,4500,EFZ:72____:,106,y7PI+4BBrKcLOcpagJO5EQ
,4502,EFZ:72____:,106,cZ7hJ+QMkmlnEUyu2OIeDQ
,4510,EFZ:72____:,106,4CFyhoTXI/BmGXWNdya3Ww
,4512,EFZ:72____:,106,TmI5KgDwgBbSRxSwG9Of1w
,4513,EFZ:72____:,106,RFg0yZY/SMqtBRy7wvb+UQ
,5420,EFZ:72____:,106,r4x4aEPKzRM5yCrJ7uAdyA
,5421,EFZ:72____:,106,wksIEzMoqNkR6tEyz/XKWA
,5422,EFZ:72____:,106,rpMfD/CIrDLTQnAD2tbZGw
,5423,EFZ:72____:,106,txqR/uqatoyZ3rHRzWAxew
,5424,EFZ:72____:,106,dhaeJUbMNWt/tBYo7a2s2g
,5425,EFZ:72____:,106,/UDKbmKN8zvVXCQFylfoNQ
,5426,EFZ:72____:,106,AmDYFN0r8HvzB8TrS6Ll2w
,5427,EFZ:72____:,106,214tjDaVQGEOcGUFmK4b+w
,5428,EFZ:72____:,106,EVfhdcfB0x7em9JWNDvc/A
,5429,EFZ:72____:,106,uC3kzmdcbXiwoU99Ep07cw
,5431,EFZ:72____:,106,3tbSHCyJGu3sfsvMlL0dGA
,6430,EFZ:72____:,106,z4Ib2KTvgvqCWlBh941RUw
,6432,EFZ:72____:,106,KdgaS7assMs72niOeSZRug
,6434,EFZ:72____:,106,9HkkwJyJndwt3UnJYg4SEg
,6436,EFZ:72____:,106,MFr3vXLlit1Mz0y0EJU1aA
,6437,EFZ:72____:,106,qL1mLsVRGIUKIWvBU3WNAw
,710,EFZ:72____:,102,HLhEdaQldpEAxvtL/0lJdA
,711,EFZ:72____:,102,zwYgc8pmnAFbwDavCgQeWg
,712,EFZ:72____:,102,wKHcCqPVH4iIn5QZTt5DWQ
,713,EFZ:72____:,102,zlbvfpR/GZette+Yt++w7g
,7300,unknown,106,lLFRHyuDfIChZodGs6yPjg
,7302,unknown,106,/pbWxr14qj9s+4Y/Q2V91g
,7304,unknown,106,v2ztIamijvcBNC+3gxN5gg
,7306,unknown,106,pC4JBe7oCjrQhNFg4OFKdA
,7308,unknown,106,Qlapjh10V6FgzuaQVFY6wQ
,7313,unknown,106,ugJtons3Sk+4Dmz/UJwwRQ
,7314,unknown,106,sBzPdEmQ8Q9BpEN+dmHsAA
,770,EFZ:72____:,102,guVZMzEserQS+RaXhJ+taQ
,771,EFZ:72____:,102,BI9xSMBIElNBG1+4UikdUQ
,772,EFZ:72____:,102,bnOu898pHTDJ3mjvQMKTYA
,773,EFZ:72____:,102,nyG0VJLoX3+3dxMKTnPe9w
