stop_name,stop_id,stop_lat,stop_lon
Adrani,7200747,43.765438,20.628565
Adrovac,7200394,43.52151,21.653503
Aleksa Šantić,7200775,45.92476,19.348879
Aleksinac,7200124,43.508167,21.69344
Alibunar,7200658,45.073112,20.956863
Badnjevac,7200683,44.130028,20.980158
Bagrdan,7200390,44.083164,21.180115
Bajmok,7200776,45.976837,19.413094
Baluga,7200766,43.85739,20.419813
Banat. Miloševo Polje,7222508,45.69279,20.29583
Banatski Karlovac,7200659,45.055782,21.016256
Banatsko Miloševo,7200631,45.726345,20.320004
Banatsko Novo Selo,7200656,44.97637,20.785658
Bar,6231080,42.08726,19.10549
Barajevo centar,7200550,44.57728,20.41212
Batajnica,7200253,44.899075,20.27185
Batočina,7200682,44.155586,21.075258
Bačka Topola,7200186,45.817974,19.649643
Bački Maglić,7200795,45.351704,19.536453
Bački Petrovac - Gložan,7200794,45.32899,19.582054
Bački Vinogradi,7200780,46.127686,19.857977
Beograd centar,7200080,44.79363,20.453129
Beška,7200814,45.14094,20.041615
Bijelo Polje,6231302,43.054348,19.769432
Bistrica na Limu,7215710,43.48321,19.646372
Bogaraš,7200781,45.935143,19.927334
Bogojevo,7200219,45.544754,19.103899
Bogojevo Selo,7200808,45.532875,19.137964
Bogutovačka Banja,7200693,43.65278,20.557518
Bor teretna,7214305,44.059917,22.125198
Boračko,7200810,43.84831,20.069323
Bočar,7200648,45.761215,20.285496
Braljina,7200409,43.657364,21.48327
Branešci,7200566,43.779247,19.681684
Brasina,7200287,44.45989,19.14724
Brevnik,7200698,43.35587,20.645086
Brezonik,7200367,44.101162,22.07934
Brusnik,7200346,44.097794,22.482878
Brzan,7200421,44.124165,21.134794
Bukovački salaši,7200773,45.740555,19.073517
Bukovče,7200424,44.008175,21.232079
Buđanovci,7200279,44.897324,19.856234
Cerovo,7200327,44.187424,22.015617
Cerovo-Ražanj,7200430,43.625916,21.486067
Crepaja,7222004,45.00537,20.625935
Crnomasnica,7200385,44.077717,22.54263
Crveni Krst,7200476,43.332405,21.88147
Debeli Lug,7200360,44.365658,21.908985
Debeljača,7222005,45.071945,20.613094
Dedina,7200738,43.59258,21.353453
Divci,7200533,44.300343,20.027962
Doline,7200789,45.958084,19.871975
Donja Borina,7200302,44.439625,19.15336
Donje Zuniče,7214015,43.624153,22.27384
Donji Ljubeš,7200432,43.578465,21.570946
Dragačevo,7200754,43.880676,20.114481
Dragobraća,7200686,43.97323,20.820633
Drenovac,7200428,43.764214,21.427908
Drenovački Kik,7200556,44.088043,19.886002
Džurovo,7200092,43.443348,19.633175
Elemir,7200642,45.43729,20.311207
Futog,7200793,45.254726,19.700811
Gabrić,7200783,46.003735,19.79497
Gajdobra,7200790,45.35652,19.456257
Gilje,7200425,43.954193,21.317728
Glibovac,7200406,44.36849,20.905264
Glumač,7200558,43.87781,19.999512
Golubinci,7200269,45.016224,20.051529
Golubovci,6231002,42.343647,19.218266
Goričani,7200764,43.79573,20.51457
Gornjane,7200363,44.23245,22.016064
Gornje Zuniče,7214014,43.60044,22.271574
Gornji Breg,7200788,45.932194,20.015898
Gornji Ljubeš,7200433,43.565754,21.593685
Gradac,7200129,44.146416,21.021658
Gramada,7214005,43.37772,22.047915
Grejač,7200395,43.42244,21.747797
Grljan,7214021,43.85589,22.29015
Grošnica,7200685,43.994904,20.876547
Gruža,7200688,43.89235,20.767843
Guberevac,7200689,43.83874,20.77385
Gugalj,7200812,43.86632,20.097984
Hadžićevo,7214006,43.39807,22.050417
Hajdukovo,7200779,46.11512,19.810335
Horgoš,7200193,46.155834,19.957788
Inđija,7200206,45.04846,20.09234
