route_id,service_id,shape_id,trip_id,bikes_allowed
+S6idVjMmyeMKxXvls4fmQ,+S6idVjMmyeMKxXvls4fmQ,shp_106_15,+S6idVjMmyeMKxXvls4fmQ,1
+UEJAJnoja0kFdPGt2cU7Q,+UEJAJnoja0kFdPGt2cU7Q,shp_102_4,+UEJAJnoja0kFdPGt2cU7Q,1
/Aw/Tf7bo1+3mGLg9xg1kg,/Aw/Tf7bo1+3mGLg9xg1kg,shp_106_48,/Aw/Tf7bo1+3mGLg9xg1kg,1
/TxZy+A3Li1og8Lpj34S0g,/TxZy+A3Li1og8Lpj34S0g,shp_106_99,/TxZy+A3Li1og8Lpj34S0g,1
/UDKbmKN8zvVXCQFylfoNQ,/UDKbmKN8zvVXCQFylfoNQ,shp_106_61,/UDKbmKN8zvVXCQFylfoNQ,1
/YwrSDrZEEVNzMLDHYag8Q,/YwrSDrZEEVNzMLDHYag8Q,shp_106_51,/YwrSDrZEEVNzMLDHYag8Q,1
/pbWxr14qj9s+4Y/Q2V91g,/pbWxr14qj9s+4Y/Q2V91g,shp_106_87,/pbWxr14qj9s+4Y/Q2V91g,
0/5tRcVOjgKeAmHD8ufWZQ,0/5tRcVOjgKeAmHD8ufWZQ,shp_106_20,0/5tRcVOjgKeAmHD8ufWZQ,1
0FJ2HwZORvv33IH4il2sNw,0FJ2HwZORvv33IH4il2sNw,shp_106_82,0FJ2HwZORvv33IH4il2sNw,1
0nDf/LurLd67qOtKAa9zpg,0nDf/LurLd67qOtKAa9zpg,shp_102_49,0nDf/LurLd67qOtKAa9zpg,1
0wf/76cZD0aUp9rhKszVXQ,0wf/76cZD0aUp9rhKszVXQ,shp_106_98,0wf/76cZD0aUp9rhKszVXQ,1
1/J1KYhXPxIffte74NBMXA,1/J1KYhXPxIffte74NBMXA,shp_106_50,1/J1KYhXPxIffte74NBMXA,1
1G+icuokEbrJJpfn+KfpOQ,1G+icuokEbrJJpfn+KfpOQ,shp_102_46,1G+icuokEbrJJpfn+KfpOQ,1
1I7dziUAJhVjfvLf+aHaTA,1I7dziUAJhVjfvLf+aHaTA,shp_102_80,1I7dziUAJhVjfvLf+aHaTA,1
1m0wqRQm6celpljUu2sRmw,1m0wqRQm6celpljUu2sRmw,shp_106_37,1m0wqRQm6celpljUu2sRmw,
1yIpF1XegRltWd8UPB+PSw,1yIpF1XegRltWd8UPB+PSw,shp_102_13,1yIpF1XegRltWd8UPB+PSw,1
214tjDaVQGEOcGUFmK4b+w,214tjDaVQGEOcGUFmK4b+w,shp_106_62,214tjDaVQGEOcGUFmK4b+w,1
23Gbxvg3xr3c5CQFOYr1pQ,23Gbxvg3xr3c5CQFOYr1pQ,shp_102_14,23Gbxvg3xr3c5CQFOYr1pQ,1
2RG/x5dP2rshvsxZpH7b2w,2RG/x5dP2rshvsxZpH7b2w,shp_106_6,2RG/x5dP2rshvsxZpH7b2w,1
2bH890p+QuFv3VqdNbOOuQ,2bH890p+QuFv3VqdNbOOuQ,shp_106_21,2bH890p+QuFv3VqdNbOOuQ,1
2eZqb4uG4/sOLU9TqKObaQ,2eZqb4uG4/sOLU9TqKObaQ,shp_102_4,2eZqb4uG4/sOLU9TqKObaQ,1
2oo3rKUA67hY0wNvOIiZYQ,2oo3rKUA67hY0wNvOIiZYQ,shp_106_105,2oo3rKUA67hY0wNvOIiZYQ,1
2v04ZWh2oAwjhRiRjNJ4oQ,2v04ZWh2oAwjhRiRjNJ4oQ,shp_102_3,2v04ZWh2oAwjhRiRjNJ4oQ,1
